term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
key management personnel compensation,,phrase,关键管理人员薪酬,Related parties,高管薪酬披露,"key management personnel compensation is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",关键管理人员薪酬，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Group management evaluates key management personnel compensation during consolidation procedures.,集团管理层在合并程序期间评价关键管理人员薪酬。,intermediate,Illust_FS(12.25).txt: line 11424,Model financial statements / annual report,IAS 24,Related parties,3 - Medium,Financial reporting
material related party transactions,,phrase,重大关联方交易,Related parties,关联交易附注,"material related party transactions is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",重大关联方交易，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Accounting policies describe the treatment of material related party transactions.,会计政策说明了重大关联方交易的会计处理方法。,intermediate,Illust_FS(12.25).txt: line 602 | example: Model Accounts.txt: line 6731,Model financial statements / annual report,IAS 24,Related parties,4 - High,Financial reporting
outstanding balances,,phrase,未结清余额,Related parties,关联往来、应收应付款,"outstanding balances is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",未结清余额，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,"During 2026, there were no transactions or outstanding balances with Brown Products Corporation, the previous parent of the Group.",于2026年期间，与本集团前母公司Brown Products Corporation并无交易或未结清余额。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 1995 | example: Illust_FS(12.25).txt: line 11400 | example: isg-2026-ifs.txt: line 7104,HK IPO audit deliverables,General IFRS/HKFRS,Related parties,5 - Very high / core,IPO
related party,,phrase,关联方,Related parties,related party transactions | IAS 24,"A person or entity that is related to the reporting entity through control, significant influence, key management or specified relationships.",关联方，是指通过控制、重大影响、主要管理人员或特定关系与报告主体相关的个人或主体。,Such transactions are disclosed as a separate category of related party transactions.,该等交易作为单独类别的关联方交易予以披露。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 444; IAS 24 | IFRS专业词汇.xlsx/Sheet1 row 140 | example: Illust_FS(12.25).txt: line 4173 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 21284,IFRS/HKFRS standards term library,IAS 24,Related parties,5 - Very high / core,Financial reporting
related party disclosures,,phrase,关联方披露,Related parties,HKAS/IAS 24附注,"related party disclosures is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",关联方披露，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The impairment model reflects management's assessment of related party disclosures.,减值模型反映了管理层对关联方披露的评估。,intermediate,Illust_FS(12.25).txt: line 9874 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 21124,Model financial statements / annual report,IAS 24,Related parties,4 - High,Financial reporting
related party transaction,,phrase,关联方交易,Related parties,annual report note; IPO connected transactions,"related party transaction is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",关联方交易，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Liquidity disclosures explain cash flow effects linked to related party transaction.,流动性披露解释了与关联方交易相关的现金流量影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 445; IAS 24 | example: Illust_FS(12.25).txt: line 11402 | example: Model Accounts.txt: line 6749 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 21284,IFRS/HKFRS standards term library,IAS 24,Related parties,5 - Very high / core,IPO
ultimate controlling party,,phrase,最终控制方,Related parties,集团控制结构披露,"ultimate controlling party is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",最终控制方，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,Risk managers consider ultimate controlling party in the financial instruments note.,风险管理人员在金融工具附注中考虑最终控制方。,intermediate,Illust_FS(12.25).txt: line 606 | example: Illust_FS(12.25).txt: line 11681,Model financial statements / annual report,IFRS 9,Financial instruments,4 - High,Financial reporting
restructuring provision,,phrase,重组预计负债,Restructuring,closure; layoffs,"restructuring provision is a professional expression used in accounting for uncertain obligations, contingent liabilities or contingent assets.",重组预计负债，是处理不确定义务、或有负债或或有资产时使用的专业表达。,Financial statement users consider restructuring provision when assessing risk.,财务报表使用者在评估风险时考虑重组预计负债。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 529; IAS 37 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 11330,IFRS/HKFRS standards term library,IAS 37,Provisions / Contingencies,4 - High,Financial reporting
actuarial present value of promised retirement benefits,,phrase,承诺退休福利的精算现值,Retirement plans,pension plan reporting,"actuarial present value of promised retirement benefits is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",承诺退休福利的精算现值，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Consistent application of actuarial present value of promised retirement benefits improves comparability across periods.,已承诺退休福利的精算现值的一贯应用可提高各期间的可比性。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 456; IAS 26,IFRS/HKFRS standards term library,IAS 26,Retirement plans,3 - Medium,Financial reporting
net assets available for benefits,,phrase,可用于支付福利的净资产,Retirement plans,pension plan financial statements,"net assets available for benefits is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",可用于支付福利的净资产，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The fair value note identifies inputs relevant to net assets available for benefits.,公允价值附注确定了与可用于支付福利的净资产相关的输入值。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 457; IAS 26,IFRS/HKFRS standards term library,IAS 26,Fair value / Valuation,3 - Medium,Valuation
retirement benefit plan,,phrase,退休福利计划,Retirement plans,pension fund reporting,"retirement benefit plan is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",退休福利计划，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,A retirement benefit plan provides benefits to employees after the end of their employment.,退休福利计划在雇佣关系结束后向雇员提供福利。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 453; IAS 26 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 15199 | example: isg-2025-insights-an-overview.txt: line 151,IFRS/HKFRS standards term library,IAS 26,Retirement plans,5 - Very high / core,Financial reporting
vested benefits,,phrase,既得福利,Retirement plans,pension plan reporting,"vested benefits is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",既得福利，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Judgement is needed when applying vested benefits.,在应用既得福利时需要作出判断。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 458; IAS 26 | example: isg-2026-ifs.txt: line 2164,IFRS/HKFRS standards term library,IAS 26,Retirement plans,4 - High,Financial reporting
contract asset,,phrase,合同资产,Revenue,收入确认和客户合同列报 | unbilled revenue | IFRS 15,An entity's right to consideration in exchange for goods or services transferred to a customer when that right is conditional on something other than the passage of time.,合同资产，是指主体因已向客户转让商品或服务而有权取得对价，但该权利取决于时间流逝以外条件的权利。,"An entity recognises a contract asset when it transfers goods or services before it has an unconditional right to payment, and a contract liability when the customer makes a payment before it receives the goods or services.",虽然本指南使用「合同资产」和「合同负债」这两个术语，但主体也可以使用其他术语。,intermediate,Illust_FS(12.25).txt: line 586 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 253; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 60 | IFRS专业词汇.xlsx/Sheet1 row 240 | example: Illust_FS(12.25).txt: line 2075 | example: Illust_FS(12.25).txt: line 7751 | example: isg-2026-ifs.txt: line 617,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
contract liability,,phrase,合同负债,Revenue,预收款和履约前收款 | deferred revenue; advances from customers | IFRS 15,"An entity's obligation to transfer goods or services to a customer for which it has received consideration, or an amount of consideration is due.",合同负债，是指主体因已收取客户对价或对价已到期而须向客户转让商品或服务的义务。,Our current contract liabilities primarily consists of advance payments received from customers for purchase of goods from us and license fees and membership fees we received.,收入确认取决于合同负债的会计处理。,intermediate,Illust_FS(12.25).txt: line 3399 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 254; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 94 | IFRS专业词汇.xlsx/Sheet1 row 241 | example: Model Accounts.txt: line 2189 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14700,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
contract with a customer,,phrase,客户合同,Revenue,sales contracts; service contracts,"contract with a customer is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",客户合同，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,The core principle of the accounting standard is that revenue is recognised in the way that depicts the transfer of the goods or services to the customer at the amount to which the entity expects to be entitled.,收入根据与客户签订的合同中所指定的对价进行计量。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 236; IFRS 15 | example: Illust_FS(12.25).txt: line 3381 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9614 | example: isg-2026-ifs.txt: line 1875,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
customer,,term,客户,Revenue,revenue recognition,"customer is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",客户，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,"No discounts are provided for standard paper products, but customers may earn loyalty points instead (see Loyalty programme).",标准纸制品不提供折扣，但客户可能赚取忠诚度积分（见忠诚度计划）。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 237; IFRS 15 | example: Illust_FS(12.25).txt: line 686 | example: isg-2026-ifs.txt: line 1882,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
performance obligation,,phrase,履约义务,Revenue,IFRS 15收入确认 | identify obligations | IFRS 15,"A promise in a contract with a customer to transfer a distinct good or service, or a series of distinct goods or services.",履约义务，是指与客户订立的合同中向客户转让可明确区分的商品或服务，或一系列可明确区分商品或服务的承诺。,An entity identifies each performance obligation in a contract with a customer.,主体识别与客户订立的合同中的每一项履约义务。,intermediate,Illust_FS(12.25).txt: line 3771 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 238; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 113 | IFRS专业词汇.xlsx/Sheet1 row 239 | example: Illust_FS(12.25).txt: line 7830 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14110 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14562 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14027,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
recognised over time,,phrase,在一段时间内确认,Revenue,服务、建造合同收入确认,"recognised over time is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",在一段时间内确认，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Customers may earn loyalty points (see Loyalty programme).Revenue and associated costs are recognised over time - i.e. before the goods are delivered to the customers' premises.,客户可能赚取忠诚度积分（见忠诚度计划）。收入及相关费用在一段时间内确认，即在货物交付至客户场所之前确认。,intermediate,Illust_FS(12.25).txt: line 3927 | example: Illust_FS(12.25).txt: line 4442 | example: isg-2026-ifs.txt: line 1925 | example: isg-2026-ifs.txt: line 1896,Model financial statements / annual report,IFRS 15,Revenue,4 - High,Financial reporting
revenue,,term,收入,Revenue,收入确认、损益表列报 | 损益,"revenue is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",收入，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Controllers check whether revenue has been applied consistently.,主计长检查收入是否得到一贯应用。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 220 | IFRS专业词汇.xlsx/Sheet1 row 112 | example: Illust_FS(12.25).txt: line 3432 | example: Illust_FS(12.25).txt: line 4429 | example: isg-2026-ifs.txt: line 1743,IFRS professional vocabulary,IFRS 15,Revenue,5 - Very high / core,IPO
significant financing component,,phrase,重大融资成分,Revenue,长期付款条件收入合同 | advance/ deferred payments | IFRS 15,"significant financing component is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",重大融资成分，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,A trade receivable without a significant financing component is initially measured at the transaction price.,不具有重大融资成分的应收账款初始按交易价格计量。,advanced,Illust_FS(12.25).txt: line 3156 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 244; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 116 | IFRS专业词汇.xlsx/Sheet1 row 245 | example: Illust_FS(12.25).txt: line 3159 | example: Illust_FS(12.25).txt: line 7784 | example: isg-2026-ifs.txt: line 7624,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
transaction price,,phrase,交易价格,Revenue,IFRS 15收入确认 | revenue measurement | IFRS 15,The amount of consideration to which an entity expects to be entitled in exchange for transferring promised goods or services to a customer.,交易价格，是指主体因向客户转让承诺的商品或服务而预期有权取得的对价金额。,The prospectus describes transaction price for potential investors.,招股说明书向潜在投资者说明了交易价格。,intermediate,Illust_FS(12.25).txt: line 3473 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 241; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 114 | IFRS专业词汇.xlsx/Sheet1 row 242 | example: Model Accounts.txt: line 4796 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 2555 | example: isg-2026-ifs.txt: line 7624,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,IPO
variable consideration,,phrase,可变对价,Revenue,折扣、返利、奖励等收入估计 | rebates; refunds; bonuses | IFRS 15,"Consideration in a customer contract that may vary because of discounts, rebates, refunds, penalties, performance bonuses or similar factors.",可变对价，是指因折扣、返利、退款、罚款、绩效奖金或类似因素而可能变动的客户合同对价。,Period-end procedures confirm whether variable consideration remains appropriate.,期末程序确认可变对价是否仍然适当。,intermediate,Illust_FS(12.25).txt: line 3822 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 242; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 115 | IFRS专业词汇.xlsx/Sheet1 row 243 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 13874 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14189,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
allocation of transaction price,,phrase,分摊交易价格,Revenue model,bundled contracts,"allocation of transaction price is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",分摊交易价格，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Disclosure committees challenge whether allocation of transaction price is clear to users.,披露委员会质疑交易价格分摊对使用者而言是否清晰明了。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 248; IFRS 15,IFRS/HKFRS standards term library,IFRS 15,Revenue,3 - Medium,Financial reporting
consideration payable to a customer,,phrase,应付客户对价,Revenue model,rebates; slotting fees,"consideration payable to a customer is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",应付客户对价，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,The cash flow analysis classifies consideration payable to a customer based on its substance.,现金流量分析根据其实质对应付客户对价进行分类。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 246; IFRS 15 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14235,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
constraint on variable consideration,,phrase,可变对价的限制,Revenue model,revenue estimate constraint,"constraint on variable consideration is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",可变对价的限制，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,The annual close process requires review of constraint on variable consideration.,年度关账流程要求复核可变对价的限制。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 243; IFRS 15,IFRS/HKFRS standards term library,IFRS 15,Revenue,3 - Medium,Financial reporting
distinct good or service,,phrase,可明确区分的商品或服务,Revenue model,multiple-element arrangements,"distinct good or service is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",可明确区分的商品或服务，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Market risk disclosures describe assumptions used for distinct good or service.,市场风险披露描述了用于区分单项商品或服务的假设。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 239; IFRS 15 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9361,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
non-cash consideration,,phrase,非现金对价,Revenue model,barter; share consideration,"non-cash consideration is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",非现金对价，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Lease accountants reassess non-cash consideration after a contract modification.,租赁会计师在合同修改后重新评估非现金对价。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 245; IFRS 15 | example: isg-2025-insights-an-overview.txt: line 1841 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14222,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
satisfaction of performance obligation,,phrase,履约义务的履行,Revenue model,revenue recognition timing,"satisfaction of performance obligation is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",履约义务的履行，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Relevant disclosures should make satisfaction of performance obligation understandable to users.,相关披露应使履约义务的满足情况为使用者所理解。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 249; IFRS 15 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 8317,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
series of distinct goods or services,,phrase,一系列可明确区分的商品或服务,Revenue model,recurring services; SaaS,"series of distinct goods or services is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",一系列可明确区分的商品或服务，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Controllers check whether series of distinct goods or services has been applied consistently.,主计长检查一系列单项商品或服务是否得到一贯应用。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 240; IFRS 15 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14114,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
stand-alone selling price,,phrase,单独售价,Revenue model,allocation of transaction price | IFRS 15,"stand-alone selling price is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",单独售价，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Management estimated stand-alone selling price using expected outcomes.,管理层利用预期结果估计单独售价。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 247; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 244 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14263 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 13883,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
control of an asset,,phrase,资产控制权,Revenue timing,transfer of control,"control of an asset is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",资产控制权，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Sensitivity analysis may show how control of an asset affects reported amounts.,敏感性分析可能显示资产控制权如何影响报告金额。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 252; IFRS 15,IFRS/HKFRS standards term library,IFRS 15,Revenue,3 - Medium,Financial reporting
over time,,phrase,在一段时间内,Revenue timing,construction; services; SaaS,"over time is a professional expression used in financial instruments accounting, including classification, measurement, impairment, hedging or risk disclosure.",在一段时间内，是金融工具会计中的专业表达，通常涉及分类、计量、减值、套期或风险披露。,Credit risk analysis considers exposure arising from over time.,信用风险分析考虑长期产生的风险敞口。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 250; IFRS 15 | example: Illust_FS(12.25).txt: line 4637 | example: isg-2026-ifs.txt: line 1925 | example: isg-2026-ifs.txt: line 1896,IFRS/HKFRS standards term library,IFRS 15,Financial instruments,4 - High,Financial reporting
point in time,,phrase,在某一时点,Revenue timing,sale of goods; delivery,"point in time is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",在某一时点，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,Invoices are generated and revenue is recognised at that point in time.,发票在某一时点开具并确认收入。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 251; IFRS 15 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14315 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14316 | example: isg-2026-ifs.txt: line 1913,IFRS/HKFRS standards term library,IFRS 15,Revenue,4 - High,Financial reporting
limited assurance,,phrase,有限保证,Review engagement,审阅和其他鉴证业务,limited assurance is a professional expression used in disclosures about financial instruments and related risk exposures.,有限保证，是金融工具披露中的专业表达，通常用于说明金融工具及相关风险敞口。,Market risk disclosures describe assumptions used for limited assurance.,市场风险披露描述了有限保证所使用的假设。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 2363,HK IPO audit deliverables,IFRS 7,Financial instruments disclosure,3 - Medium,IPO
nothing has come to our attention,,sentence,我们没有注意到任何事项,Review engagement,审阅结论的消极保证,"nothing has come to our attention is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",我们没有注意到任何事项，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,"Based on our review, nothing has come to our attention that causes us to believe that the Stub Period Corresponding Financial Information is not prepared, in all material respects, in accordance with the basis of preparation.",根据我们的审阅，我们并未注意到任何事项使我们相信过渡期间对应财务信息在所有重大方面未按照编制基础编制。,advanced,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 169 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 4270,HK IPO audit deliverables,General IFRS/HKFRS,Review engagement,4 - High,IPO
substantially less in scope than an audit,,phrase,范围远小于审计,Review engagement,审阅报告说明,"substantially less in scope than an audit is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",范围远小于审计，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,The impairment model reflects management's assessment of substantially less in scope than an audit.,减值模型反映了管理层对范围远小于审计的业务的评估。,advanced,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 167 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 4266,HK IPO audit deliverables,IAS 36,Audit,4 - High,Audit
other price risk,,phrase,其他价格风险,Risk,equity investments; commodity exposure,other price risk is a professional expression used in disclosures about financial instruments and related risk exposures.,其他价格风险，是金融工具披露中的专业表达，通常用于说明金融工具及相关风险敞口。,Liquidity disclosures explain cash flow effects linked to other price risk.,流动性披露解释了与其他价格风险相关的现金流量影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 118; IFRS 7 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 2670 | example: Illust_FS(12.25).txt: line 10710,IFRS/HKFRS standards term library,IFRS 7,Financial instruments disclosure,5 - Very high / core,Financial reporting
nature and extent of risks,,phrase,风险的性质及程度,Risk disclosure,financial risk management,nature and extent of risks is a professional expression used in disclosures about financial instruments and related risk exposures.,风险的性质及程度，是金融工具披露中的专业表达，通常用于说明金融工具及相关风险敞口。,IFRS 7 requires information that enables users of financial statements to evaluate the nature and extent of risks arising from financial instruments to which the entity is exposed at the reporting date.,IFRS 7要求披露使财务报表使用者能够评价主体于报告日所面临的金融工具风险的性质和程度的信息。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 112; IFRS 7 | example: Model Accounts.txt: line 4876 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 30739 | example: isg-2026-ifs.txt: line 5819,IFRS/HKFRS standards term library,IFRS 7,Financial instruments disclosure,4 - High,Financial reporting
business,,term,业务,Scope,asset acquisition vs business combination,"business is a professional expression used in business combination accounting, including identifying the acquirer, measuring consideration or recognising acquired assets and liabilities.",业务，是企业合并会计中的专业表达，通常涉及识别购买方、计量对价或确认取得的资产和负债。,Users should consider business when reading the accounts.,使用者阅读账目时应考虑业务情况。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 67; IFRS 3 | example: Illust_FS(12.25).txt: line 652 | example: Model Accounts.txt: line 314 | example: isg-2026-ifs.txt: line 7660,IFRS/HKFRS standards term library,IFRS 3,Business combinations,5 - Very high / core,Financial reporting
component of an entity,,phrase,主体的组成部分,Scope,discontinued operations assessment,"component of an entity is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",主体的组成部分，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Management representation confirms the basis used for component of an entity.,管理层声明确认了主体组成部分所采用的依据。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 98; IFRS 5 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 11884 | example: isg-2025-insights-an-overview.txt: line 1743,IFRS/HKFRS standards term library,IFRS 5,Assets held for sale / Discontinued operations,4 - High,Financial reporting
contract contains a lease,,phrase,合同包含租赁,Scope,embedded leases; service contracts,"contract contains a lease is a professional expression used in lease accounting, including lessee or lessor recognition, measurement and presentation.",合同包含租赁，是租赁会计中的专业表达，通常涉及承租人或出租人的确认、计量和列报。,Professional judgement is applied when interpreting contract contains a lease.,在判断合同是否包含租赁时需要运用专业判断。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 269; IFRS 16,IFRS/HKFRS standards term library,IFRS 16,Leases,3 - Medium,Financial reporting
assembled workforce,,phrase,集合劳动力,Scope / PPA,business definition; goodwill drivers,"assembled workforce is a professional expression used in business combination accounting, including identifying the acquirer, measuring consideration or recognising acquired assets and liabilities.",集合劳动力，是企业合并会计中的专业表达，通常涉及识别购买方、计量对价或确认取得的资产和负债。,Measurement uncertainty increases when assembled workforce depends on estimates.,当涉及 assembled workforce 的估计时，计量不确定性会增加。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 83; IFRS 3,IFRS/HKFRS standards term library,IFRS 3,Business combinations,3 - Medium,Financial reporting
